Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
ARI,23,28.7,4.07,93,69,.574,3.66,162,162,160,2,11,1,43,1441.0,1309,659,586,171,516,45,1482,38,5,82,6072,128,3.80,1.266,8.2,1.1,3.2,9.3,2.87,1090
ATL,26,29.4,5.07,72,90,.444,4.72,162,162,162,0,6,0,36,1441.1,1463,821,756,192,584,39,1258,70,5,58,6306,93,4.51,1.420,9.1,1.2,3.6,7.9,2.15,1161
BAL,26,28.2,5.19,75,87,.463,4.97,162,162,161,1,10,1,35,1441.0,1505,841,795,242,579,21,1233,60,6,53,6293,88,4.96,1.446,9.4,1.5,3.6,7.7,2.13,1129
BOS,27,28.4,4.12,93,69,.574,3.70,162,162,157,5,11,1,39,1482.1,1384,668,610,195,465,18,1580,49,3,43,6217,123,3.78,1.247,8.4,1.2,2.8,9.6,3.40,1102
CHC,28,30.8,4.29,92,70,.568,3.95,162,162,160,2,8,1,38,1447.1,1294,695,636,194,554,29,1439,66,4,73,6108,112,4.20,1.277,8.0,1.2,3.4,8.9,2.60,1071
CHW,31,28.7,5.06,67,95,.414,4.78,162,162,162,0,3,0,25,1421.2,1384,820,755,242,632,36,1193,68,5,67,6200,90,5.17,1.418,8.8,1.5,4.0,7.6,1.89,1115
CIN,31,27.6,5.36,68,94,.420,5.17,162,162,160,2,8,1,33,1430.0,1442,869,821,248,631,37,1300,77,7,62,6286,87,5.08,1.450,9.1,1.6,4.0,8.2,2.06,1127
CLE,20,28.9,3.48,102,60,.630,3.30,162,162,155,7,19,3,37,1440.2,1267,564,529,163,406,15,1614,45,1,48,5866,138,3.33,1.161,7.9,1.0,2.5,10.1,3.98,980
COL,21,27.0,4.67,87,75,.537,4.51,162,162,161,1,9,1,47,1437.2,1453,757,721,190,532,20,1270,50,10,69,6177,112,4.32,1.381,9.1,1.2,3.3,8.0,2.39,1107
DET,29,28.3,5.52,64,98,.395,5.36,162,162,160,2,4,1,32,1420.1,1587,894,846,218,538,42,1202,61,4,53,6298,84,4.73,1.496,10.1,1.4,3.4,7.6,2.23,1143
HOU,27,28.5,4.32,101,61,.623,4.12,162,162,161,1,9,0,45,1446.0,1314,700,662,192,522,17,1593,70,4,86,6111,99,3.91,1.270,8.2,1.2,3.2,9.9,3.05,1073
KCR,29,30.3,4.88,80,82,.494,4.61,162,162,161,1,6,1,39,1437.2,1480,791,737,196,519,24,1216,52,6,48,6218,97,4.43,1.390,9.3,1.2,3.2,7.6,2.34,1114
LAA,31,29.1,4.38,80,82,.494,4.20,162,162,161,1,10,1,43,1440.2,1373,709,672,224,470,25,1312,44,6,57,6030,102,4.43,1.279,8.6,1.4,2.9,8.2,2.79,999
LAD,26,29.7,3.58,104,58,.642,3.38,162,162,160,2,16,0,51,1444.2,1226,580,543,184,442,33,1549,40,10,40,5925,123,3.67,1.155,7.6,1.1,2.8,9.6,3.50,1011
MIA,24,28.7,5.07,77,85,.475,4.82,162,162,161,1,7,1,34,1442.2,1450,822,772,193,627,59,1202,75,3,57,6318,83,4.69,1.440,9.0,1.2,3.9,7.5,1.92,1168
MIL,30,28.3,4.30,86,76,.531,4.00,162,162,161,1,12,0,54,1445.2,1381,697,642,185,553,45,1346,64,2,50,6164,110,4.24,1.338,8.6,1.2,3.4,8.4,2.43,1130
MIN,36,29.6,4.86,85,77,.525,4.59,162,162,156,6,11,3,42,1436.0,1487,788,732,224,483,37,1166,69,8,52,6205,97,4.72,1.372,9.3,1.4,3.0,7.3,2.41,1109
NYM,29,27.5,5.33,70,92,.432,5.01,162,162,160,2,5,0,34,1434.2,1538,863,799,220,593,51,1374,55,5,55,6378,83,4.59,1.485,9.6,1.4,3.7,8.6,2.32,1211
NYY,25,27.8,4.07,91,71,.562,3.72,162,162,160,2,7,1,36,1448.2,1248,660,599,192,504,18,1560,53,4,83,6078,121,3.88,1.209,7.8,1.2,3.1,9.7,3.10,1072
OAK,28,27.9,5.10,75,87,.463,4.67,162,162,161,1,6,1,35,1431.0,1444,826,743,210,502,17,1202,61,3,84,6167,90,4.57,1.360,9.1,1.3,3.2,7.6,2.39,1048
PHI,31,26.8,4.83,66,96,.407,4.55,162,162,161,1,7,0,33,1441.0,1471,782,729,221,527,39,1309,63,11,50,6235,95,4.56,1.387,9.2,1.4,3.3,8.2,2.48,1130
PIT,24,27.1,4.51,75,87,.463,4.22,162,162,160,2,12,1,36,1440.2,1464,731,676,182,511,32,1262,58,2,58,6208,101,4.23,1.371,9.1,1.1,3.2,7.9,2.47,1155
SDP,32,27.7,5.04,71,91,.438,4.67,162,162,160,2,12,1,45,1430.2,1417,816,742,226,554,28,1325,75,11,73,6169,90,4.67,1.378,8.9,1.4,3.5,8.3,2.39,1061
SEA,40,27.8,4.77,78,84,.481,4.46,162,162,161,1,9,0,39,1440.1,1399,772,713,237,490,28,1244,53,7,73,6132,94,4.70,1.312,8.7,1.5,3.1,7.8,2.54,1039
SFG,22,28.9,4.79,64,98,.395,4.50,162,162,159,3,5,2,32,1452.0,1515,776,726,182,496,42,1234,50,3,55,6287,95,4.22,1.385,9.4,1.1,3.1,7.6,2.49,1155
STL,25,28.3,4.35,83,79,.512,4.01,162,162,159,3,12,3,43,1450.1,1393,705,646,183,493,50,1351,67,0,38,6153,106,4.09,1.300,8.6,1.1,3.1,8.4,2.74,1097
TBR,31,27.6,4.35,80,82,.494,3.97,162,162,162,0,9,0,53,1445.0,1324,704,638,193,503,37,1352,48,4,83,6099,106,4.17,1.264,8.2,1.2,3.1,8.4,2.69,1060
TEX,31,28.8,5.04,78,84,.481,4.66,162,162,160,2,6,1,29,1434.1,1443,816,742,214,559,22,1107,74,7,63,6211,103,4.88,1.396,9.1,1.3,3.5,6.9,1.98,1092
TOR,34,28.8,4.84,76,86,.469,4.42,162,162,160,2,6,0,45,1465.0,1460,784,720,203,549,25,1372,48,4,53,6316,102,4.31,1.371,9.0,1.2,3.4,8.4,2.50,1137
WSN,24,30.1,4.15,97,65,.599,3.88,162,162,159,3,5,1,46,1446.2,1300,672,623,189,495,39,1457,60,5,44,6068,116,3.99,1.241,8.1,1.2,3.1,9.1,2.94,1056
LgAvg,25,28.5,4.65,81,81,.500,4.35,162,162,160,2,,,39,1442,1407,753,697,204,528,32,1337,59,5,60,6177,101,4.36,1.342,8.8,1.3,3.3,8.3,2.53,1098
,755,28.5,4.65,2430,2430,.500,4.35,4860,4860,4801,59,,,1179,43257.0,42215,22582,20911,6105,15829,970,40104,1763,155,1810,185295,101,4.36,1.342,8.8,1.3,3.3,8.3,2.53,32942